"S. No",Company,ContactPerson,Designation,Mobile,Address,Brand,Product,"Added By"
1,"Leak-Proof Pumps (I) Pvt. Ltd. - Mumbai","Ashvitha Shetty","Application Engineer",9515127811,"G-1,Laxmi Industrial Estate,New Link Road,Andheri(W),Mumbai-400053",admin
2,"Ion Exchange (I) Ltd. - GOA",-,-,0832-3073000/3072184,"Plot No.:L 48,Verna Industrial Estate,Phase-II,Verna-Salcette Goa-403722",admin
3,"Ion Exchange (I) Ltd. - Gujarat",-,-,02646-302726/302727,"Plot No.:5811-12,13,GIDC Ankaleswar-393002,Dist. Bharuch,Gujarat.",admin
4,"Ion Exchange (I) Ltd. - Tamil Nadu",-,-,04344-30460,"No. 105,Sipcot Industrial Complex,Hosur-635126,Krishnagiri(Dist.),Tamil Nadu",admin
